学校	がっこう	Noun:|1. school||Wikipedia definition:|2. School
それ	Pronoun:|1. that (indicating an item or person near the listener, the action of the listener, or something on their mind); it (Usually written using kana alone)|2. that time; then|3. there (indicating a place near the listener) (Archaism)|4. you (Archaism)
物	もの	Noun:|1. thing; object; article; stuff; substance|2. one's things; possessions; property; belongings (as 〜のもの, 〜のもん)|3. things; something; anything; everything; nothing|4. quality|5. reason; the way of things|6. used to emphasize emotion, judgment, etc.; used to indicate a common occurrence in the past (after a verb in past tense); used to indicate a general tendency; used to indicate something that should happen (Usually written using kana alone) (formal noun often used as 〜ものだ)||Noun - used as a suffix:|7. item classified as ...; item related to ...; work of ...|8. cause of ...; cause for ...||Prefix:|9. somehow; somewhat; for some reason|10. really; truly
家	いえ	Noun:|1. house; residence; dwelling|2. family; household|3. lineage; family name
本	ほん	Noun:|1. book; volume; script||Prefix:|2. this; present|3. main; head|4. real; regular||Suffix, Counter:|5. counter for long cylindrical things; counter for films, TV shows, etc.; counter for goals, home runs, etc.; counter for telephone calls (sometimes pronounced ぼん or ぽん)
とても	Adverb:|1. very; awfully; exceedingly (Usually written using kana alone) (とっても is more emphatic)|2. (not) at all; by no means; simply (cannot) (Usually written using kana alone) (before a negative form)
会う	あう	Godan verb with u ending, intransitive verb:|1. to meet; to encounter; to see (逢う is often used for close friends, etc. and may be associated with drama or pathos; 遭う may have an undesirable nuance)|2. to have an accident; to have a bad experience (Usually written using kana alone) (esp. 遭う when in kanji)
好き	すき	Na-adjective, Noun:|1. liked; well-liked; favourite; favorite|2. in love (with); loved; romantically interested (in)||Noun, Na-adjective:|3. faddism; eccentricity|4. the way one likes; (as) it suits one
わかる	Godan verb with ru ending, intransitive verb:|1. to understand; to comprehend; to grasp; to see; to get; to follow (Usually written using kana alone)|2. to become clear; to be known; to be discovered; to be realized; to be realised; to be found out (Usually written using kana alone)
聞く	きく	Godan verb with ku ending, Transitive verb:|1. to hear|2. to listen (e.g. to music) (usu. 聴く)|3. to ask; to enquire; to query (聴く is more formal)|4. to learn of; to hear about|5. to follow (advice); to comply with|6. to smell (esp. incense); to sample fragrance
所	ところ	Noun, Suffix:|1. place; spot; scene; site (also pronounced どころ when a suffix)|2. address (Usually written using kana alone)|3. district; area; locality (Usually written using kana alone)|4. one's house (Usually written using kana alone)|5. point; aspect; side; facet (Usually written using kana alone)|6. passage (in text); part (Usually written using kana alone)|7. space; room (Usually written using kana alone)|8. thing; matter (Usually written using kana alone)||Noun:|9. whereupon; as a result (Usually written using kana alone) (after the plain past form of a verb)|10. about to; on the verge of (Usually written using kana alone) (after present form of a verb)|11. was just doing; was in the process of doing; have just done; just finished doing (Usually written using kana alone) (after past form of a verb)
先	さき	Noun, No-adjective, Noun - used as a suffix, Prefix:|1. previous; prior; former; first; earlier; some time ago; preceding|2. point (e.g. pencil); tip; end; nozzle|3. head (of a line); front|4. ahead; the other side|5. the future; hereafter|6. destination|7. the other party
いつも	Adverb, Noun:|1. always; usually; every time (Usually written using kana alone)|2. never (Usually written using kana alone) (with neg. verb)
書く	かく	Godan verb with ku ending, Transitive verb:|1. to write; to compose; to pen|2. to draw; to paint
たくさん	No-adjective, Na-adjective, Noun, Adverbial noun:|1. a lot; lots; plenty; many; a large number; much; a great deal; a good deal (Usually written using kana alone)|2. enough; sufficient (Usually written using kana alone)||Noun - used as a suffix:|3. enough; too many; too much (Usually written using kana alone) (after a noun; usu. read as だくさん)
入る	はいる	Godan verb with ru ending, intransitive verb:|1. to enter; to go into|2. to break into|3. to join; to enroll|4. to contain; to hold; to accommodate|5. to have (an income of)|6. to get; to receive; to score
置く	おく	Godan verb with ku ending, Transitive verb:|1. to put; to place|2. to leave (behind)|3. to establish (an organization, a facility, a position, etc.); to set up|4. to appoint (someone to a certain position); to hire; to employ|5. to place (one's trust, one's faith, etc); to bear (in mind etc)|6. to put down a tool (e.g. a pen) hence stopping what one is doing with that tool|7. to take in (boarders, etc.); to provide lodging in one's house|8. to separate spatially or temporally||Godan verb with ku ending, Auxiliary verb:|9. to do something in advance (Usually written using kana alone) (after the -te form of a verb)|10. to leave something in a certain state; to keep something in a certain state (Usually written using kana alone) (after the -te form of a verb)
どこ	Pronoun:|1. where; what place (Usually written using kana alone)|2. how much (long, far); what extent (Usually written using kana alone)
住む	すむ	Godan verb with mu ending, intransitive verb:|1. to live (of humans); to reside; to inhabit; to dwell; to abide
食べる	たべる	Ichidan verb, Transitive verb:|1. to eat|2. to live on (e.g. a salary); to live off; to subsist on
歩く	あるく	Godan verb with ku ending, intransitive verb:|1. to walk
働く	はたらく	Godan verb with ku ending, intransitive verb:|1. to work; to labor; to labour|2. to function; to operate; to be effective; to work (i.e. ... works); to come into play|3. to commit (e.g. a crime); to perpetrate; to do; to act; to practise; to practice|4. to be conjugated (linguistics terminology)
着く	つく	Godan verb with ku ending, intransitive verb:|1. to arrive at; to reach|2. to sit on; to sit at (e.g. the table)
上	うえ	Noun, No-adjective, Adverbial noun, Noun - used as a suffix:|1. above; up; over; elder (e.g. daughter)|2. top; summit|3. surface; on|4. before; previous|5. superiority; one's superior (i.e. one's elder)|6. on top of that; besides; what's more|7. upon (further inspection, etc.); based on (and occurring after)|8. matters concerning...; as concerns ...|9. since (i.e. "for that reason") (as ...上は)||Noun - used as a suffix:|10. suffix indicating higher social standing (Honorific or respectful (sonkeigo))|11. place of one's superior (i.e. the throne) (Archaism)|12. emperor; sovereign; shogun; daimyo (Archaism)|13. noblewoman (esp. the wife of a nobleman) (Archaism)
悪い	わるい	I-adjective:|1. bad; poor; inferior|2. evil; sinful|3. unprofitable; unbeneficial|4. at fault; to blame; in the wrong|5. sorry
教える	おしえる	Ichidan verb, Transitive verb:|1. to teach; to instruct|2. to tell; to inform|3. to preach
降る	ふる	Godan verb with ru ending, intransitive verb:|1. to fall (of rain, snow, ash, etc.); to come down|2. to form (of frost)|3. to beam down (of sunlight or moonlight); to pour in|4. to visit (of luck, misfortune, etc.); to come; to arrive
死ぬ	しぬ	Godan verb with nu ending, Irregular nu verb, intransitive verb:|1. to die; to pass away (Sensitive)|2. to lose spirit; to lose vigor; to look dead|3. to cease; to stop
帰る	かえる	Godan verb with ru ending, intransitive verb:|1. to return; to come home; to go home; to go back|2. to leave (of a guest, customer, etc.)|3. to get home; to get to home plate (Baseball term)
忘れる	わすれる	Ichidan verb, Transitive verb:|1. to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article)
多い	おおい	I-adjective:|1. many; numerous; a lot|2. large quantity; large amount|3. frequent; common
出かける	でかける	Ichidan verb, intransitive verb:|1. to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out|2. to be about to leave; to be just going out
若い	わかい	I-adjective:|1. young; youthful|2. immature; green|3. low (number); small
かかる	Godan verb with ru ending, intransitive verb:|1. to take (a resource, e.g. time or money) (Usually written using kana alone)||Godan verb with ru ending:|2. to hang (Usually written using kana alone)|3. to come into view; to arrive (Usually written using kana alone)|4. to come under (a contract, a tax) (Usually written using kana alone)|5. to start (engines, motors) (Usually written using kana alone)|6. to attend; to deal with; to handle (Usually written using kana alone)||Godan verb with ru ending, Auxiliary verb:|7. to have started to; to be on the verge of (Usually written using kana alone)||Godan verb with ru ending:|8. to overlap (e.g. information in a manual); to cover (Usually written using kana alone)||Godan verb with ru ending, Auxiliary verb:|9. to (come) at (Usually written using kana alone)||Godan verb with ru ending:|10. to be fastened (Usually written using kana alone)|11. to be covered (e.g. with dust, a table-cloth, etc.) (Usually written using kana alone)|12. to be caught in (Usually written using kana alone)|13. to get a call (Usually written using kana alone)|14. to depend on (Usually written using kana alone)
同じ	おなじ	Noun or verb acting prenominally, Noun:|1. same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike||Adverb:|2. anyway; anyhow; in either case (usu. part of a 'nara' conditional)
起きる	おきる	Ichidan verb, intransitive verb:|1. to get up; to rise; to blaze up (fire)|2. to wake up; to be awake; to stay awake|3. to occur (usu. of unfavourable incidents); to happen; to take place
座る	すわる	Godan verb with ru ending, intransitive verb:|1. to sit; to squat|2. to assume (a position)|3. to hold steady; to hold still (esp. 据わる, 据る)
店	みせ	Noun:|1. store; shop; establishment; restaurant (orig. an abbr. of 店棚;見世棚)
入れる	いれる	Ichidan verb, Transitive verb:|1. to put in; to let in; to take in; to bring in; to insert; to set (a jewel, etc.); to ink in (e.g. a tattoo)|2. to admit; to accept; to employ; to hire|3. to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to (esp. 容れる)|4. to include|5. to pay (one's rent, etc.)|6. to cast (a vote)|7. to make (tea, coffee, etc.)|8. to turn on (a switch, etc.)|9. to send (a fax); to call
どなた	Noun:|1. who? (Usually written using kana alone, Honorific or respectful (sonkeigo))
ちょっと	Adverb:|1. a little; a bit; slightly (Usually written using kana alone)|2. just a minute; for a moment; briefly (Usually written using kana alone)|3. somewhat; rather; fairly; pretty; quite (Usually written using kana alone)|4. (not) easily; (not) readily (Usually written using kana alone) (before a verb in negative form)|5. hey!; excuse me (Usually written using kana alone)
疲れる	つかれる	Ichidan verb, intransitive verb:|1. to get tired; to tire|2. to be worn out (e.g. of well used objects)|3. to starve (Archaism)
開ける	あける	Ichidan verb, Transitive verb:|1. to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock|2. to open (for business, etc.)|3. to empty; to remove; to make space; to make room (esp. 空ける)|4. to move out; to clear out (esp. 空ける)|5. to be away from (e.g. one's house); to leave (temporarily) (esp. 空ける)||Ichidan verb, intransitive verb:|6. to dawn; to grow light (esp. 明ける)|7. to end (of a period, season) (esp. 明ける)|8. to begin (of the New Year) (esp. 明ける)|9. to leave (one's schedule) open; to make time (for) (esp. 明ける)|10. to make (a hole); to open up (a hole)
なぜ	Adverb:|1. why; how (Usually written using kana alone)
一日	いちにち	Noun:|1. one day|2. first day of the month
寒い	さむい	I-adjective:|1. cold (e.g. weather)|2. uninteresting (esp. joke); lame; dull; weak; corny
見せる	みせる	Ichidan verb, Transitive verb:|1. to show; to display
違う	ちがう	Godan verb with u ending, intransitive verb:|1. to differ (from); to vary|2. to not be in the usual condition|3. to not match the correct (answer, etc.)|4. to be different from promised||Expression:|5. isn't it?; wasn't it? (Kansai dialect) (at sentence-end; oft. as 〜のと違うか)
どうして	Adverb:|1. why?; for what reason; how; in what way; for what purpose; what for (Usually written using kana alone)
付ける	つける	Ichidan verb, Transitive verb:|1. to attach; to join; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment)|2. to furnish (a house with)|3. to wear; to put on|4. to keep a diary; to make an entry|5. to appraise; to set (a price)|6. to allot; to budget; to assign|7. to bring alongside|8. to place (under guard or doctor)|9. to follow; to shadow|10. to load; to give (courage to)|11. to keep (an eye on)|12. to establish (relations or understanding)|13. to turn on (light)|14. to produce flowers; to produce fruit (of a plant)
覚える	おぼえる	Ichidan verb, Transitive verb:|1. to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember|2. to learn; to pick up; to acquire|3. to feel|4. to think; to regard
近く	ちかく	Noun, No-adjective, Adverbial noun:|1. near; neighbourhood; neighborhood; vicinity||Noun - used as a suffix:|2. nearly (e.g. "it took nearly one year"); close to||Adverb:|3. shortly; soon
風	かぜ	Noun:|1. wind; breeze; draught; draft||Noun, Noun - used as a prefix:|2. manner; behaviour; behavior||Noun:|3. cold; influenza (irreg. kanji form)
困る	こまる	Godan verb with ru ending, intransitive verb:|1. to be troubled; to be worried; to be bothered; to be embarrassed; to be stumped
生まれる	うまれる	Ichidan verb, intransitive verb:|1. to be born
ちょうど	Adverb:|1. exactly; precisely; just; right (Usually written using kana alone)|2. as if; as though; quite (Usually written using kana alone)
初めて	はじめて	Adverb, No-adjective:|1. for the first time||Adverb:|2. only after ... is it ...; only when ... do you ... (after the -te form of a verb)
始まる	はじまる	Godan verb with ru ending, intransitive verb:|1. to begin; to start; to commence|2. to happen (again); to begin (anew)|3. to date (from); to originate (in)
貸す	かす	Godan verb with su ending, Transitive verb:|1. to lend; to loan|2. to rent out; to hire out
きれい	Na-adjective:|1. pretty; lovely; beautiful; fair (Usually written using kana alone)|2. clean; clear; pure; tidy; neat (Usually written using kana alone)|3. completely; entirely (Usually written using kana alone) (as きれいに)
いくら	Adverb, Noun:|1. how much?; how many? (Usually written using kana alone)||Adverb:|2. even; even if
空	そら	Noun:|1. sky; the air; the heavens|2. weather|3. far-off place; distant place|4. state of mind; feeling (often as 〜空もない)|5. (from) memory; (by) heart (usu. as 空で)|6. falsehood; lie||Noun - used as a prefix:|7. somehow; vaguely (before an adjective)|8. fake (before a noun or a verb)
弾く	ひく	Godan verb with ku ending, Transitive verb:|1. to play (a stringed or keyboard instrument)
暑い	あつい	I-adjective:|1. hot; warm; sultry; heated|2. passionate; impassioned; burning (desire, etc.)|3. on everybody's mind; on the radar; du jour; interested (gaze, etc.)
遊ぶ	あそぶ	Godan verb with bu ending, intransitive verb:|1. to play; to enjoy oneself; to have a good time|2. to mess about (with alcohol, gambling, philandery, etc.)|3. to be idle; to do nothing; to be unused|4. to go to (for pleasure or for study) (as 〜に遊ぶ)|5. to intentionally throw a ball to lower the batter's concentration (Baseball term)
しかし	Conjunction:|1. however; but (Usually written using kana alone)
なくす	Godan verb with su ending, Transitive verb:|1. to lose (something); to mislay (Usually written using kana alone)|2. to get rid of; to eliminate; to remove (Usually written using kana alone)
いろいろ	Na-adjective, No-adjective, Adverb, Adverb taking the 'to' particle, Noun:|1. various; all sorts of; variety of (Usually written using kana alone)||Noun:|2. various colors (colours) (Archaism)
渡る	わたる	Godan verb with ru ending, intransitive verb:|1. to cross over; to go across (usu. 渡る or 渉る)|2. to extend; to cover; to range; to span (usu. 亘る or 亙る)
暗い	くらい	I-adjective:|1. dark; gloomy; murky|2. depressed; dispirited; down in the dumps; dark (mood)|3. dark (in colour); dull|4. ill-boding; dark (e.g. past); suspicious|5. unlikely (to succeed); hopeless; unpromising|6. unfamiliar (with); ignorant (of) (as 〜に暗い)
こちら	Noun:|1. this way (direction close to the speaker or towards the speaker); this direction (Usually written using kana alone)|2. here (place close to the speaker or where the speaker is)|3. this one (something physically close to the speaker)||Pronoun:|4. I; me; we; us|5. this person (someone physically close to the speaker and of equal or higher status)
重い	おもい	I-adjective:|1. heavy; weighty; massive|2. heavy (feeling); depressed; gloomy; blue; uneasy|3. slow; sluggish; lumbering; ponderous; clumsy|4. important; serious; grave (of a position, responsibility, etc.)|5. serious; severe; critical (of a punishment, illness, etc.)|6. solid; established; dignified; sensible
今晩	こんばん	Adverbial noun, Temporal noun:|1. tonight; this evening
おいしい	I-adjective:|1. delicious; tasty; sweet (Usually written using kana alone)|2. attractive; appealing; convenient; favorable; desirable; profitable (Usually written using kana alone)
消す	けす	Godan verb with su ending, Transitive verb:|1. to erase; to delete; to cross out|2. to turn off power|3. to extinguish; to put out|4. to bump off (Slang)
やさしい	I-adjective:|1. easy; plain; simple (Usually written using kana alone)
閉める	しめる	Ichidan verb, Transitive verb:|1. to close; to shut
安い	やすい	I-adjective:|1. cheap; inexpensive|2. calm; peaceful; quiet
遠い	とおい	I-adjective:|1. far; distant; far away; a long way off; in the distance|2. distant (past); remote (in time); remote; far-removed (in time)|3. distant (relationship or kinship); having little to do (with someone)|4. far (from something else in quality, degree, etc.); not similar; way off|5. hard (of hearing) (as 耳が遠い)|6. nearsighted (as 目が遠い)
短い	みじかい	I-adjective:|1. short
消える	きえる	Ichidan verb, intransitive verb:|1. to go out; to vanish; to disappear
晴れる	はれる	Ichidan verb, intransitive verb:|1. to clear up; to clear away; to be sunny; to stop raining|2. to refresh (e.g. spirits)|3. to be cleared (e.g. of a suspicion)|4. to be dispelled; to be banished
曲がる	まがる	Godan verb with ru ending, intransitive verb:|1. to bend; to curve; to warp; to wind; to twist|2. to turn|3. to be awry; to be askew; to be crooked
冷たい	つめたい	I-adjective:|1. cold (to the touch); chilly; icy; freezing|2. coldhearted; unfeeling; indifferent; unfriendly
青い	あおい	I-adjective:|1. blue; azure|2. green (mostly arch. or in ref. to fruits, vegetables and traffic lights, etc.)|3. pale; gray; grey (in ref. to facial colour)|4. unripe; inexperienced
ページ	Noun:|1. page (Usually written using kana alone) (頁 is sometimes ぺえじ or ぺいじ)
吹く	ふく	Godan verb with ku ending, Transitive verb, intransitive verb:|1. to blow (e.g. wind); to play a wind instrument|2. to whistle|3. to laugh; to burst into laughter (Slang) (often as 吹いた)||Godan verb with ku ending, Transitive verb:|4. to smelt; to mint|5. to brag; to talk big
奥さん	おくさん	Noun:|1. wife; your wife; his wife; married lady; madam (Honorific or respectful (sonkeigo))
引く	ひく	Godan verb with ku ending, Transitive verb:|1. to pull; to tug; to lead (e.g. a horse)|2. to draw (attention, sympathy, etc.); to attract (e.g. interest)|3. to draw back (e.g. one's hand); to draw in (one's chin, stomach, etc.); to pull in|4. to draw (a card, mahjong tile, etc.)|5. to draw (a line, plan, etc.)|6. to catch (a cold)|7. to play (a stringed or keyboard instrument)|8. to look up (e.g. a dictionary); to consult|9. to haul; to pull (vehicles) (esp. 牽く)|10. to subtract; to deduct|11. to recede; to ebb; to fade|12. to be descend from; to inherit (a characteristic)|13. to quote; to cite; to raise (as evidence)|14. to lay on (electricity, gas, etc.); to install (e.g. a telephone); to supply (e.g. water)|15. to hold (e.g. a note)|16. to apply (e.g. lipstick); to oil (e.g. a pan); to wax (e.g. a floor)||Godan verb with ku ending, intransitive verb:|17. to move back; to draw back; to recede|18. to lessen; to subside; to ebb|19. to resign; to retire; to quit
だんだん	Adverb, Adverb taking the 'to' particle:|1. gradually; by degrees; little by little; more and more; increasingly (Usually written using kana alone)||Noun:|2. steps; stairs; staircase; terrace
習う	ならう	Godan verb with u ending, Transitive verb:|1. to take lessons in; to be taught; to learn (from a teacher); to study (under a teacher); to get training in
あそこ	Pronoun:|1. there (place physically distant from both speaker and listener); over there; that place; yonder; you-know-where (Usually written using kana alone)||Noun:|2. genitals; private parts; nether regions (Colloquialism, Usually written using kana alone)|3. that far (something psychologically distant from both speaker and listener); that much; that point (Usually written using kana alone)
狭い	せまい	I-adjective:|1. narrow; confined; small; cramped|2. limited; narrow-minded; confining
軽い	かるい	I-adjective:|1. light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily)|2. light (i.e. of foot); effortless; nimble; agile|3. non-serious; minor; unimportant; trivial|4. slight; small; gentle; soft; easy; lighthearted (e.g. joke)|5. easy; simple|6. indiscriminate
脱ぐ	ぬぐ	Godan verb with gu ending, Transitive verb:|1. to take off (clothes, shoes, etc.); to undress
万	まん	Numeric:|1. 10,000; ten thousand (萬 is sometimes used in legal documents)||Noun, No-adjective:|2. myriad||Adverbial noun:|3. everything; all||Noun, No-adjective:|4. various (Archaism)
うるさい	I-adjective:|1. noisy; loud (Usually written using kana alone)|2. annoying; troublesome; tiresome; persistent; importunate (Usually written using kana alone)|3. fussy; finicky; picky; particular; nagging; fastidious; bossy (Usually written using kana alone)|4. shut up!; be quiet! (Usually written using kana alone)
並ぶ	ならぶ	Godan verb with bu ending, intransitive verb:|1. to line up; to stand in a line|2. to rival; to match; to equal
吸う	すう	Godan verb with u ending, Transitive verb:|1. to smoke; to breathe in; to inhale|2. to suck; to sip; to slurp|3. to absorb; to soak up|4. to kiss
つまらない	I-adjective:|1. dull; uninteresting; boring; tedious (Usually written using kana alone)|2. insignificant; unimportant; trifling; trivial; worthless (Usually written using kana alone)|3. absurd; foolish; silly; stupid (Usually written using kana alone)|4. useless; pointless; disappointing (Usually written using kana alone)
閉まる	しまる	Godan verb with ru ending, intransitive verb:|1. to be shut; to close; to be closed (esp. 閉まる)|2. to be firm (of a body, face, etc.); to be well-knit|3. to be locked|4. to tighten; to be tightened|5. to become sober; to become tense
咲く	さく	Godan verb with ku ending, intransitive verb:|1. to bloom
まっすぐ	Na-adjective, Adverb, Noun:|1. straight (ahead); direct; upright; erect (Usually written using kana alone)||Na-adjective, Noun:|2. straightforward; honest; frank (Usually written using kana alone)
一	いち	Numeric, Prefix:|1. one (１ can also be read ワン. 壱, 弌 and 壹 are used in legal documents)||No-adjective, Suffix:|2. best||No-adjective:|3. first; foremost||Noun:|4. beginning; start|5. ace (playing card)|6. bottom string (on a shamisen, etc.)
おばあさん	Noun:|1. grandmother (Usually written using kana alone) (usu. お祖母さん)|2. old woman; female senior citizen (Usually written using kana alone) (usu. お婆さん)
そちら	Pronoun:|1. that way (direction distant from the speaker, close to the listener) (Usually written using kana alone)|2. there (place distant from the speaker, close to the listener)|3. that one (something close to the listener)|4. you; your family; your company|5. that person (someone close to the listener)
涼しい	すずしい	I-adjective:|1. cool; refreshing|2. clear (e.g. eyes); bright|3. clear; distinct|4. composed (facial expression); unruffled; unconcerned|5. pure; upright; innocent (Archaism)
厚い	あつい	I-adjective:|1. thick; deep; heavy|2. kind; cordial; hospitable; warm; faithful|3. serious (of an illness)|4. abundant
お兄さん	おにいさん	Noun:|1. older brother; elder brother (Honorific or respectful (sonkeigo))|2. young man; buddy; fella; laddie (vocative)
お姉さん	おねえさん	Noun:|1. elder sister (Honorific or respectful (sonkeigo)) (usu. お姉さん)|2. young lady (vocative)|3. miss (referring to a waitress, etc.; usu. お姐さん)|4. ma'am (used by geisha to refer to their superiors; usu. お姐さん)|5. older girl
危ない	あぶない	I-adjective:|1. dangerous; risky; hazardous; perilous; precarious|2. in danger; in jeopardy; critical; grave; at risk|3. uncertain; unreliable; insecure; unsteady; doubtful|4. close (i.e. a close call); narrow
汚い	きたない	I-adjective:|1. dirty; filthy; foul; unclean|2. disordered; messy; untidy; poor (e.g. handwriting)|3. indecent (language, etc.); dirty; vulgar; coarse|4. dastardly; mean; base; underhanded|5. stingy; greedy
並べる	ならべる	Ichidan verb, Transitive verb:|1. to line up; to set up; to arrange in a line|2. to enumerate; to itemize|3. to be equal (to); to compare well (with); to be as good (as)
お腹	おなか	Noun:|1. belly; abdomen; stomach (Polite (teineigo))
まずい	I-adjective:|1. unappetising; unappetizing; unsavoury; unsavory; unpleasant (Usually written using kana alone)|2. unskillful; unskilful; bungling; clumsy; poor (Usually written using kana alone)|3. ugly; unattractive; homely; plain (Usually written using kana alone)|4. awkward; problematic; troublesome; unfavorable; unfavourable; unwise (Usually written using kana alone)
曇る	くもる	Godan verb with ru ending, intransitive verb:|1. to get cloudy; to cloud over; to become overcast|2. to cloud up; to fog up; to mist up; to become dim|3. to be gloomy; to be clouded (expression); to be downcast|4. to look slightly downward (of a noh mask; indicating sadness, grief, etc.) (from 面曇る)
ご飯	ごはん	Noun:|1. cooked rice|2. meal
お菓子	おかし	Noun:|1. confections; sweets; candy
黄色い	きいろい	I-adjective:|1. yellow|2. high-pitched (voice); shrill
磨く	みがく	Godan verb with ku ending, Transitive verb:|1. to polish; to shine; to brush (e.g. teeth); to grind (e.g. lens)|2. to refine (e.g. a skill); to improve; to cultivate
賑やか	にぎやか	Na-adjective:|1. bustling; busy; lively
鳴く	なく	Godan verb with ku ending, intransitive verb:|1. to sing (bird)|2. to make sound (animal); to call; to cry; to chirp|3. to make a meld call (e.g. pung, kong) (Mahjong term)
夕飯	ゆうはん	Noun:|1. evening meal
はがき	Noun:|1. postcard (Abbreviation, Usually written using kana alone)|2. memo; note; card (Usually written using kana alone)
ワイシャツ	Noun:|1. shirt; business shirt; dress shirt (Usually written using kana alone, Abbreviation, Wasei, word made in Japan)
朝ご飯	あさごはん	Noun:|1. breakfast
六つ	むっつ	Numeric:|1. six
お手洗い	おてあらい	Noun:|1. toilet; restroom; lavatory; bathroom
おまわりさん	Noun:|1. police officer (Familiar language, Usually written using kana alone)
差す	さす	Godan verb with su ending, intransitive verb:|1. to shine|2. to be visible|3. to be tinged with|4. to rise (of water levels); to flow in|5. to be felt (i.e. as an emotion); to come over one||Godan verb with su ending, Transitive verb:|6. to hold up (an umbrella, etc.); to put up; to raise|7. to extend one's arm straight ahead (in dance)|8. to insert; to put in|9. to wear (a sword) in one's belt; to wear at one's side; to carry under one's arm|10. to insert one's arm under an opponent's arm (Sumo term)|11. to pole (a boat)|12. to pour; to add (liquid); to serve (drinks)|13. to put on (lipstick, etc.); to apply; to colour; to dye|14. to light (a fire); to burn|15. to shut; to close; to lock; to fasten||Suffix, Godan verb with su ending:|16. to stop in the midst of; to leave undone (after the -masu stem of a verb)
れい	Noun, No-adjective:|1. zero; nought (Usually written using kana alone)
二十日	はつか	Noun:|1. twentieth day of the month|2. twenty days
キロメートル	Noun:|1. kilometer; kilometre (Usually written using kana alone)
八つ	やっつ	Numeric:|1. eight
再来年	さらいねん	Adverbial noun, Temporal noun:|1. year after next
よく	Adverb:|1. nicely; properly; well; skillfully; skilfully (Usually written using kana alone)|2. frequently; often (Usually written using kana alone)
そこ	Pronoun:|1. there (place relatively near listener) (Usually written using kana alone)|2. there (place just mentioned); that place (Usually written using kana alone)|3. then (of some incident just spoken of); that (of point just raised) (Usually written using kana alone)|4. you (Archaism)
小さな	ちいさな	Pre-noun adjectival:|1. small; little; tiny
答える	こたえる	Ichidan verb, intransitive verb:|1. to answer; to reply
もう一度	もういちど	Expression:|1. once more; again
いる	Godan verb with ru ending, intransitive verb:|1. to be needed; to be wanted (Usually written using kana alone)
背	せ	Noun:|1. back; spine|2. reverse; rear side|3. height; stature|4. ridge (of a mountain)
お弁当	おべんとう	Noun:|1. bento; Japanese box lunch
晩御飯	ばんごはん	Noun:|1. dinner; evening meal
でも	Conjunction:|1. but; however; though; nevertheless; still; yet; even so; also; as well||Particle:|2. even|3. however; no matter how; even if; even though|4. ... or something|5. either ... or ...; neither ... nor ... (as 〜でも〜でも)||Prefix:|6. pseudo-; quack; in-name-only (before an occupation, etc.)|7. for lack of anything better to do (before an occupation, etc.)
など	Particle:|1. et cetera; etc.; and the like; and so forth (Usually written using kana alone)|2. or something (Usually written using kana alone) (after an approximate quote or vague suggestion)|3. the likes of (Usually written using kana alone) (lessening the significance or value of the previous word)
クラス	Noun:|1. class||Wikipedia definition:|2. Class
プール	Noun:|1. (swimming) pool||Noun, Suru verb:|2. pool (billiards)|3. pool (together)||Wikipedia definition:|4. Swimming pool
中	なか	Noun:|1. inside; in|2. among; within|3. center (centre); middle|4. during; while||Wikipedia definition:|5. Naka
テレビ	Noun:|1. television; TV (Abbreviation)|2. TV program; TV programme; TV broadcast (Abbreviation)||Wikipedia definition:|3. Television
コーヒー	Noun, No-adjective:|1. coffee (Usually written using kana alone)||Wikipedia definition:|2. Coffee
ホテル	Noun:|1. hotel||Wikipedia definition:|2. Hotel
ニュース	Noun:|1. news||Wikipedia definition:|2. News
テーブル	Noun, No-adjective:|1. table||Wikipedia definition:|2. Table
カメラ	Noun:|1. camera||Wikipedia definition:|2. Camera
タクシー	Noun:|1. taxi||Wikipedia definition:|2. Taxicab
スポーツ	Noun, No-adjective:|1. sport; sports||Wikipedia definition:|2. Sport
ラジオ	Noun:|1. radio||Wikipedia definition:|2. Radio
ペン	Noun:|1. pen||Wikipedia definition:|2. Pen
レストラン	Noun:|1. restaurant (esp. Western-style)||Wikipedia definition:|2. Restaurant
テスト	Noun, Suru verb:|1. test||Wikipedia definition:|2. Test
ベッド	Noun:|1. bed||Wikipedia definition:|2. Bed
パン	Noun:|1. bread; pastries (e.g. croissants); pastry-based products (originally written 麺麭 or 麪包)|2. pan; frying pan||Noun, Suru verb:|3. panning (in a film)||Wikipedia definition:|4. Bread
ナイフ	Noun:|1. knife||Wikipedia definition:|2. Knife
シャツ	Noun:|1. shirt (underwear); undershirt; singlet (also written as 襯衣)|2. shirt (outerwear, esp. dress shirt)||Wikipedia definition:|3. Shirt
ネクタイ	Noun:|1. tie; necktie||Wikipedia definition:|2. Necktie
ギター	Noun:|1. guitar||Wikipedia definition:|2. Guitar
メートル	Noun:|1. metre; meter (Usually written using kana alone)|2. meter; gauge||Wikipedia definition:|3. Rice
